symbol,entry_date,setup,p_raw,p_cal,score,is_win,r_realized
META,2024-08-01,momentum,0.5622941138419252,0.562962962962963,56,0,-1.0
XLK,2024-08-14,momentum,0.6222514164776466,0.641711229946524,64,1,2.748
NTAP,2024-08-14,momentum,0.8138860797224896,0.8181818181818182,82,1,2.75
RBLX,2024-08-14,momentum,0.5936344823949098,0.5918367346938775,59,1,2.746
ETN,2024-08-14,momentum,0.619318376806131,0.5952380952380952,60,0,-0.397
HD,2024-08-14,momentum,0.677531590593242,0.641711229946524,64,1,2.75
BWXT,2024-08-14,momentum,0.5849030236055484,0.5714285714285714,57,1,2.752
QQQ,2024-08-14,momentum,0.6220196154467518,0.641711229946524,64,1,2.75
ORCL,2024-08-14,momentum,0.6506392310142252,0.641711229946524,64,1,2.751
AVGO,2024-08-14,momentum,0.7884754881929678,0.8181818181818182,82,1,2.751
WMT,2024-08-14,momentum,0.6184632083760659,0.5952380952380952,60,1,2.744
MS,2024-08-14,momentum,0.6214523348842088,0.641711229946524,64,1,2.75
AXP,2024-08-14,momentum,0.6609291195669472,0.641711229946524,64,1,2.75
CRDO,2024-08-14,momentum,0.7930899851517323,0.8181818181818182,82,1,2.761
ADBE,2024-08-14,momentum,0.6153214094430813,0.5952380952380952,60,1,2.749
TXN,2024-08-14,momentum,0.6324812765708817,0.641711229946524,64,1,2.748
KLAC,2024-08-14,momentum,0.8016677416551833,0.8181818181818182,82,0,-1.0
PSTG,2024-08-14,momentum,0.7927535050053217,0.8181818181818182,82,1,2.746
NEE,2024-08-14,momentum,0.5930805215704558,0.5918367346938775,59,1,2.755
SPY,2024-08-14,momentum,0.6611229606516243,0.641711229946524,64,1,2.749
NVDA,2024-08-14,momentum,0.7874940309075549,0.8181818181818182,82,1,2.75
SMH,2024-08-14,momentum,0.7582369178028897,0.8181818181818182,82,1,2.748
ZS,2024-08-14,momentum,0.7922580810448737,0.8181818181818182,82,1,2.748
VRT,2024-08-15,momentum,0.7923470003217681,0.8181818181818182,82,0,-0.315
SO,2024-08-15,momentum,0.6184738449155305,0.5952380952380952,60,0,-1.0
MRVL,2024-08-15,momentum,0.8102544777864596,0.8181818181818182,82,1,2.755
SOXX,2024-08-15,momentum,0.7901602935967587,0.8181818181818182,82,1,2.749
